model name, synchronous QC, asynchronous QC
Apoptosis Network,0.902,0.903
Arabidopsis thaliana Cell Cycle,1.0,0.913
Aurora Kinase A in Neuroblastoma,0.762,0.771
B bronchiseptica and T retortaeformis coinfection,0.911,0.924
B cell differentiation,0.735,0.739
BT474 Breast Cell Line Long-term ErbB Network,0.621,0.607
BT474 Breast Cell Line Short-term ErbB Network,0.64,0.602
Bordetella bronchiseptica,0.971,0.966
Bortezomib Responses in U266 Human Myeloma Cells,0.925,0.921
Budding Yeast Cell Cycle,0.721,0.775
Budding Yeast Cell Cycle 2009,1.0,0.924
CD4 T cell signaling,0.797,0.8
CD4+ T Cell Differentiation and Plasticity,0.58,0.566
CD4+ T cell Differentiation,0.699,0.704
Cardiac development,0.86,0.832
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.812,0.992
Cholesterol Regulatory Pathway,0.918,0.938
Colitis-associated colon cancer,0.923,0.933
Cortical Area Development,0.849,0.8
Death Receptor Signaling,0.79,0.817
Differentiation of T lymphocytes,0.766,0.783
EGFR & ErbB Signaling,0.726,0.73
FA BRCA pathway,1.0,0.986
FGF pathway of Drosophila Signalling Pathways,0.609,0.609
Fanconi anemia and checkpoint recovery,1.0,0.974
Glucose Repression Signaling 2009,0.746,0.749
Guard Cell Abscisic Acid Signaling,0.849,0.89
HCC1954 Breast Cell Line Long-term ErbB Network,0.632,0.635
HCC1954 Breast Cell Line Short-term ErbB Network,0.644,0.595
HGF Signaling in Keratinocytes,0.911,0.911
HH Pathway of Drosophila Signaling Pathways,0.458,0.458
HIV-1 interactions with T Cell Signalling Pathway,0.883,0.89
Human Gonadal Sex Determination,0.901,0.913
IGVH mutations in chronic lymphocytic leukemia,0.725,0.725
IL-1 Signaling,0.881,0.881
IL-6 Signalling,0.822,0.825
Influenza A Virus Replication Cycle,0.916,0.916
Iron acquisition and oxidative stress response in aspergillus fumigatus,0.909,0.886
Lac Operon,0.768,0.759
Lymphoid and myeloid cell specification and transdifferentiation,0.904,0.876
Lymphopoiesis Regulatory Network,0.797,0.806
MAPK Cancer Cell Fate Network,0.918,0.92
Mammalian Cell Cycle,0.949,0.934
Mammalian Cell Cycle 2006,0.9,0.844
Metabolic Interactions in the Gut Microbiome,0.59,0.589
Neurotransmitter Signaling Pathway,0.875,0.847
Oxidative Stress Pathway,0.947,0.926
PC12 Cell Differentiation,0.984,0.984
Predicting Variabilities in Cardiac Gene,0.86,0.832
Pro-inflammatory Tumor Microenvironment in Acute Lymphoblastic Leukemia,0.89,0.922
Processing of Spz Network from the Drosophila Signaling Pathway,0.75,0.75
Regulation of the L-arabinose operon of Escherichia coli,0.689,0.687
SKBR3 Breast Cell Line Long-term ErbB Network,0.734,0.709
SKBR3 Breast Cell Line Short-term ErbB Network,0.616,0.541
Senescence Associated Secretory Phenotype,0.938,0.937
Septation Initiation Network,0.669,0.697
Signal Transduction in Fibroblasts,0.855,0.884
Signaling Pathway for Butanol Production in Clostridium beijerinckii NRRL B-598,0.783,0.802
Signaling in Macrophage Activation,0.941,0.941
Stomatal Opening Model,0.879,0.883
T Cell Receptor Signaling,0.928,0.931
T cell differentiation,0.758,0.772
T-Cell Signaling 2006,0.924,0.922
T-LGL Survival Network 2008,0.885,0.878
T-LGL Survival Network 2011,0.9,0.895
T-LGL Survival Network 2011 Reduced Network,0.984,0.957
TOL Regulatory Network,0.583,0.583
Toll Pathway of Drosophila Signaling Pathway,0.818,0.811
Treatment of Castration-Resistant Prostate Cancer,0.667,0.667
Trichostrongylus retortaeformis,0.845,0.88
Tumour Cell Invasion and Migration,0.883,0.896
VEGF Pathway of Drosophila Signaling Pathway,0.556,0.556
Wg Pathway of Drosophila Signalling Pathways,0.462,0.462
Yeast Apoptosis,0.822,0.822
