model name, SQC, AQC
Apoptosis Network,0.901912,0.902156
Arabidopsis thaliana Cell Cycle,1.0,0.917571
Aurora Kinase A in Neuroblastoma,0.761704,0.768922
B bronchiseptica and T retortaeformis coinfection,0.912491,0.924604
B cell differentiation,0.735073,0.738927
BT474 Breast Cell Line Long-term ErbB Network,0.621632,0.60512
BT474 Breast Cell Line Short-term ErbB Network,0.640175,0.603025
Bordetella bronchiseptica,0.971212,0.964376
Bortezomib Responses in U266 Human Myeloma Cells,0.924681,0.920478
Budding Yeast Cell Cycle,0.71974,0.77564
Budding Yeast Cell Cycle 2009,1.0,0.924067
CD4 T cell signaling,0.797377,0.799921
CD4+ T Cell Differentiation and Plasticity,0.5788,0.566711
CD4+ T cell Differentiation,0.698379,0.705032
Cardiac development,0.859947,0.8316
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.814978,0.990533
Cholesterol Regulatory Pathway,0.919094,0.938082
Colitis-associated colon cancer,0.922446,0.933629
Cortical Area Development,0.85384,0.79472
Death Receptor Signaling,0.788529,0.818871
Differentiation of T lymphocytes,0.766256,0.783472
EGFR & ErbB Signaling,0.72595,0.7304
FA BRCA pathway,1.0,0.9864
FGF pathway of Drosophila Signalling Pathways,0.608696,0.608696
Fanconi anemia and checkpoint recovery,1.0,0.974987
Glucose Repression Signaling 2009,0.74623,0.748773
Guard Cell Abscisic Acid Signaling,0.849664,0.890282
HCC1954 Breast Cell Line Long-term ErbB Network,0.631312,0.634992
HCC1954 Breast Cell Line Short-term ErbB Network,0.6429,0.59605
HGF Signaling in Keratinocytes,0.911547,0.910647
HH Pathway of Drosophila Signaling Pathways,0.458333,0.458333
HIV-1 interactions with T Cell Signalling Pathway,0.882968,0.890177
Human Gonadal Sex Determination,0.901116,0.913537
IGVH mutations in chronic lymphocytic leukemia,0.725275,0.725209
IL-1 Signaling,0.881356,0.881356
IL-6 Signalling,0.821763,0.825205
Influenza A Virus Replication Cycle,0.916031,0.915597
Iron acquisition and oxidative stress response in aspergillus fumigatus,0.909091,0.885073
Lac Operon,0.7668,0.759015
Lymphoid and myeloid cell specification and transdifferentiation,0.905358,0.87657
Lymphopoiesis Regulatory Network,0.798454,0.806696
MAPK Cancer Cell Fate Network,0.918098,0.920302
Mammalian Cell Cycle,0.94884,0.93546
Mammalian Cell Cycle 2006,0.9,0.84144
Metabolic Interactions in the Gut Microbiome,0.589267,0.589167
Neurotransmitter Signaling Pathway,0.875,0.8476
Oxidative Stress Pathway,0.947368,0.926105
PC12 Cell Differentiation,0.983871,0.983639
Predicting Variabilities in Cardiac Gene,0.86,0.833307
Pro-inflammatory Tumor Microenvironment in Acute Lymphoblastic Leukemia,0.889738,0.922308
Processing of Spz Network from the Drosophila Signaling Pathway,0.75,0.75
Regulation of the L-arabinose operon of Escherichia coli,0.688031,0.687538
SKBR3 Breast Cell Line Long-term ErbB Network,0.734496,0.70552
SKBR3 Breast Cell Line Short-term ErbB Network,0.615175,0.541925
Senescence Associated Secretory Phenotype,0.937741,0.937843
Septation Initiation Network,0.670387,0.697974
Signal Transduction in Fibroblasts,0.855413,0.884607
Signaling Pathway for Butanol Production in Clostridium beijerinckii NRRL B-598,0.782691,0.802006
Signaling in Macrophage Activation,0.940754,0.940543
Stomatal Opening Model,0.87951,0.883159
T Cell Receptor Signaling,0.92823,0.930642
T cell differentiation,0.758974,0.772122
T-Cell Signaling 2006,0.92389,0.92174
T-LGL Survival Network 2008,0.884689,0.8784
T-LGL Survival Network 2011,0.899587,0.895287
T-LGL Survival Network 2011 Reduced Network,0.983689,0.955844
TOL Regulatory Network,0.583333,0.583333
Toll Pathway of Drosophila Signaling Pathway,0.818182,0.811055
Treatment of Castration-Resistant Prostate Cancer,0.666667,0.666667
Trichostrongylus retortaeformis,0.846015,0.881046
Tumour Cell Invasion and Migration,0.883075,0.897088
VEGF Pathway of Drosophila Signaling Pathway,0.555556,0.555511
Wg Pathway of Drosophila Signalling Pathways,0.461538,0.461523
Yeast Apoptosis,0.821562,0.821523
