model name, SFQC, AFQC
Apoptosis Network,0.975426,0.97539
Arabidopsis thaliana Cell Cycle,0.997661,0.9727
Aurora Kinase A in Neuroblastoma,0.942917,0.939552
B bronchiseptica and T retortaeformis coinfection,0.991398,0.988166
B cell differentiation,0.957423,0.955985
BT474 Breast Cell Line Long-term ErbB Network,0.973296,0.971596
BT474 Breast Cell Line Short-term ErbB Network,0.964353,0.958688
Bordetella bronchiseptica,0.993846,0.998152
Bortezomib Responses in U266 Human Myeloma Cells,0.991689,0.989051
Budding Yeast Cell Cycle,0.951517,0.952787
Budding Yeast Cell Cycle 2009,0.998497,0.982452
CD4 T cell signaling,0.994644,0.994737
CD4+ T Cell Differentiation and Plasticity,0.949299,0.947051
CD4+ T cell Differentiation,0.973818,0.973805
Cardiac development,0.940862,0.933136
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.954772,0.999698
Cholesterol Regulatory Pathway,0.972673,0.976351
Colitis-associated colon cancer,0.98363,0.978053
Cortical Area Development,0.85384,0.81527
Death Receptor Signaling,0.957744,0.953853
Differentiation of T lymphocytes,0.980122,0.982956
EGFR & ErbB Signaling,0.991701,0.991768
FA BRCA pathway,1.0,0.997219
FGF pathway of Drosophila Signalling Pathways,0.961887,0.962017
Fanconi anemia and checkpoint recovery,1.0,0.996123
Glucose Repression Signaling 2009,0.983965,0.983887
Guard Cell Abscisic Acid Signaling,0.979023,0.982997
HCC1954 Breast Cell Line Long-term ErbB Network,0.97286,0.97168
HCC1954 Breast Cell Line Short-term ErbB Network,0.963791,0.958087
HGF Signaling in Keratinocytes,0.984816,0.984746
HH Pathway of Drosophila Signaling Pathways,0.960826,0.960884
HIV-1 interactions with T Cell Signalling Pathway,0.997154,0.997176
Human Gonadal Sex Determination,0.922452,0.936545
IGVH mutations in chronic lymphocytic leukemia,0.994687,0.994652
IL-1 Signaling,0.997645,0.997652
IL-6 Signalling,0.993833,0.993983
Influenza A Virus Replication Cycle,0.998572,0.998045
Iron acquisition and oxidative stress response in aspergillus fumigatus,0.983331,0.975173
Lac Operon,0.922521,0.912713
Lymphoid and myeloid cell specification and transdifferentiation,0.995057,0.973999
Lymphopoiesis Regulatory Network,0.990396,0.991005
MAPK Cancer Cell Fate Network,0.984698,0.985436
Mammalian Cell Cycle,0.979254,0.968529
Mammalian Cell Cycle 2006,0.939455,0.928751
Metabolic Interactions in the Gut Microbiome,0.924975,0.92409
Neurotransmitter Signaling Pathway,0.978516,0.969101
Oxidative Stress Pathway,0.971173,0.96377
PC12 Cell Differentiation,0.998179,0.997944
Predicting Variabilities in Cardiac Gene,0.940684,0.933287
Pro-inflammatory Tumor Microenvironment in Acute Lymphoblastic Leukemia,0.968651,0.975068
Processing of Spz Network from the Drosophila Signaling Pathway,0.961239,0.960997
Regulation of the L-arabinose operon of Escherichia coli,0.92323,0.923018
SKBR3 Breast Cell Line Long-term ErbB Network,0.979548,0.97663
SKBR3 Breast Cell Line Short-term ErbB Network,0.962558,0.953775
Senescence Associated Secretory Phenotype,0.982897,0.986116
Septation Initiation Network,0.962824,0.962561
Signal Transduction in Fibroblasts,0.990405,0.989762
Signaling Pathway for Butanol Production in Clostridium beijerinckii NRRL B-598,0.986835,0.987574
Signaling in Macrophage Activation,0.996764,0.996764
Stomatal Opening Model,0.976536,0.976712
T Cell Receptor Signaling,0.99341,0.993312
T cell differentiation,0.947918,0.953012
T-Cell Signaling 2006,0.99303,0.992923
T-LGL Survival Network 2008,0.997774,0.993769
T-LGL Survival Network 2011,0.998044,0.995245
T-LGL Survival Network 2011 Reduced Network,0.991158,0.978471
TOL Regulatory Network,0.95967,0.959512
Toll Pathway of Drosophila Signaling Pathway,0.908893,0.908784
Treatment of Castration-Resistant Prostate Cancer,0.973934,0.973718
Trichostrongylus retortaeformis,0.973171,0.970915
Tumour Cell Invasion and Migration,0.964783,0.960412
VEGF Pathway of Drosophila Signaling Pathway,0.95787,0.957927
Wg Pathway of Drosophila Signalling Pathways,0.964278,0.963971
Yeast Apoptosis,0.988731,0.98862
