model name, synchronous DC, asynchronous DC, synchronous DC (sourceless), asynchronous DC (sourceless)
Apoptosis Network,1.01185,1.029840298402984,0.9299471978879155,0.9569782791311653
Arabidopsis thaliana Cell Cycle,1.27217,1.2218866263951678,1.281473776853222,1.2136756410769292
Aurora Kinase A in Neuroblastoma,1.05042,1.060641521889159,0.9948898466954008,1.0028200846025381
B bronchiseptica and T retortaeformis coinfection,1.0003499999999999,0.9920466595970304,0.9710288411536463,0.9608884355374216
B cell differentiation,1.00034,1.012881288128813,0.7025221513290798,0.7434146048762927
BT474 Breast Cell Line Long-term ErbB Network,0.94386,0.9168867018722996,0.8026540796223885,0.7906837205116154
BT474 Breast Cell Line Short-term ErbB Network,0.76141,0.8237599999999999,0.3752775277527753,0.5518451845184519
Bordetella bronchiseptica,1.01373,0.9928392839283929,1.0151815181518151,0.9903890389038905
Bortezomib Responses in U266 Human Myeloma Cells,0.9146599999999999,0.9534332359649476,0.8858085808580858,0.934173417341734
Budding Yeast Cell Cycle,1.01288,1.0163,0.8284600000000001,0.85438
Budding Yeast Cell Cycle 2009,1.10985,1.11004100410041,1.1100610061006102,1.103950395039504
CD4 T cell signaling,0.97127,0.9820791761830351,0.8278369592398102,0.8417104276069017
CD4+ T Cell Differentiation and Plasticity,0.72143,0.8869186918691869,0.46689867594703793,0.7064782591303653
CD4+ T cell Differentiation,0.9837,0.9949588909560102,0.8442375390031202,0.849217937434995
Cardiac developmen,0.9865700000000001,1.0006200620062005,0.8368434737389496,0.8223328933157327
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.9414300000000001,0.8834088340883407,0.9424494244942451,0.877308773087731
Cholesterol Regulatory Pathway,0.99272,0.9931395883753025,0.9374399999999999,0.94123
Colitis-associated colon cancer,0.98673,1.0335434173669464,0.9860873565977533,1.0230543803322631
Cortical Area Development,0.80109,0.93101,0.79905,0.9351800000000001
Death Receptor Signaling,1.03495,1.0419550346041526,0.9303900000000002,0.9597199999999998
