model name, SFHD, AHFD
Apoptosis Network,1.437062,1.131135
Arabidopsis thaliana Cell Cycle,1.733368,0.764848
Aurora Kinase A in Neuroblastoma,1.83295,1.407045
B bronchiseptica and T retortaeformis coinfection,0.459389,0.6272
B cell differentiation,0.936691,0.968327
BT474 Breast Cell Line Long-term ErbB Network,0.6676,0.710112
BT474 Breast Cell Line Short-term ErbB Network,0.57035,0.661
Bordetella bronchiseptica,0.204667,0.060968
Bortezomib Responses in U266 Human Myeloma Cells,0.55686,0.733576
Budding Yeast Cell Cycle,1.072015,0.956479
Budding Yeast Cell Cycle 2009,1.71934,0.649725
CD4 T cell signaling,1.008582,0.989477
CD4+ T Cell Differentiation and Plasticity,0.9212,0.953089
CD4+ T cell Differentiation,1.039037,1.001694
Cardiac development,0.887067,1.002957
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.476009,0.002725
Cholesterol Regulatory Pathway,0.939038,0.804083
Colitis-associated colon cancer,1.473906,1.670298
Cortical Area Development,0.7308,0.92365
Death Receptor Signaling,1.253051,1.292106
Differentiation of T lymphocytes,0.99388,0.8522
EGFR & ErbB Signaling,1.023313,0.883735
FA BRCA pathway,0.110614,0.124733
FGF pathway of Drosophila Signalling Pathways,0.876591,0.8736
Fanconi anemia and checkpoint recovery,0.15352,0.138567
Glucose Repression Signaling 2009,1.170529,1.17623
Guard Cell Abscisic Acid Signaling,1.336532,0.768307
HCC1954 Breast Cell Line Long-term ErbB Network,0.678496,0.708
HCC1954 Breast Cell Line Short-term ErbB Network,0.57935,0.670602
HGF Signaling in Keratinocytes,1.0329,1.037256
HH Pathway of Drosophila Signaling Pathways,0.940183,0.938783
HIV-1 interactions with T Cell Signalling Pathway,0.392893,0.389664
Human Gonadal Sex Determination,1.473411,1.205642
IGVH mutations in chronic lymphocytic leukemia,0.495855,0.494109
IL-1 Signaling,0.277861,0.277031
IL-6 Signalling,0.656638,0.53921
Influenza A Virus Replication Cycle,0.187348,0.256373
Iron acquisition and oxidative stress response in aspergillus fumigatus,1.825717,0.784596
Lac Operon,1.007231,1.134725
Lymphoid and myeloid cell specification and transdifferentiation,0.163115,0.858048
Lymphopoiesis Regulatory Network,0.777956,0.728559
MAPK Cancer Cell Fate Network,1.019741,0.803963
Mammalian Cell Cycle,0.41492,0.62942
Mammalian Cell Cycle 2006,0.966336,0.78394
Metabolic Interactions in the Gut Microbiome,0.9003,0.910925
Neurotransmitter Signaling Pathway,0.56355,0.63588
Oxidative Stress Pathway,1.260261,0.763109
PC12 Cell Differentiation,0.112903,0.127456
Predicting Variabilities in Cardiac Gene,0.889733,1.000697
Pro-inflammatory Tumor Microenvironment in Acute Lymphoblastic Leukemia,0.876092,0.678313
Processing of Spz Network from the Drosophila Signaling Pathway,0.930267,0.936067
Regulation of the L-arabinose operon of Escherichia coli,0.998012,1.000768
SKBR3 Breast Cell Line Long-term ErbB Network,0.511312,0.584256
SKBR3 Breast Cell Line Short-term ErbB Network,0.599075,0.7396
Senescence Associated Secretory Phenotype,1.043524,0.710937
Septation Initiation Network,1.155333,1.160607
Signal Transduction in Fibroblasts,3.316727,1.681122
Signaling Pathway for Butanol Production in Clostridium beijerinckii NRRL B-598,1.222051,0.873808
Signaling in Macrophage Activation,1.043731,1.04295
Stomatal Opening Model,1.169398,1.154174
T Cell Receptor Signaling,0.722369,0.679279
T cell differentiation,1.197896,1.080735
T-Cell Signaling 2006,0.407223,0.299379
T-LGL Survival Network 2008,0.135821,0.381818
T-LGL Survival Network 2011,0.117384,0.285893
T-LGL Survival Network 2011 Reduced Network,0.161622,0.39547
TOL Regulatory Network,0.967917,0.971717
Toll Pathway of Drosophila Signaling Pathway,1.002182,1.003376
Treatment of Castration-Resistant Prostate Cancer,1.094771,1.103829
Trichostrongylus retortaeformis,0.726837,0.769211
Tumour Cell Invasion and Migration,1.190606,1.266825
VEGF Pathway of Drosophila Signaling Pathway,0.758333,0.757319
Wg Pathway of Drosophila Signalling Pathways,0.946538,0.949218
Yeast Apoptosis,0.843761,0.846012
